Module,Mode,EDI?,TIMESTAMP,Alert / Email,Problem Statements,Solution,SOP
EDI/API,Email,Yes,1/13/2025 1:36,"Subject: Email ALR-696760 | EDI Parsing Issue on ANSI X12 301 (translator quarantine)

Dear Team,

Unexpected qualifier 'BN' in EQD segment from Partner-C; schema validation failed; containers in the message not reflected on the portal timeline. Context tokens: EDIFACT. All numeric identifiers are randomized placeholders; no credentials stored.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,",Unexpected qualifier 'BN' in EQD segment from Partner-C; schema validation failed; containers in the message not reflected on the portal timeline. Context tokens: EDIFACT. All numeric identifiers are randomized placeholders; no credentials stored.,Implemented pre-ingest normalizer for qualifiers; updated partner IG notes; enabled anomaly detection for repeated segment errors exceeds threshold. Communications used masked ticket references where applicable.,
Vessel,Email,No,6/29/2025 5:30,"Subject: Email INC-305249 | Vessel MV CORAL WAVE/43C exception at Pasir Panjang Terminal 2

Dear Team,

ETA/ETB mismatch for MV CORAL WAVE (IMO 7982361, CS-ML4A1) on voyage 43C. Berth plan shows ETB at BP07 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at Pasir Panjang Terminal 2 reflects older figures. Pilotage request pending; quay Q2 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,","ETA/ETB mismatch for MV CORAL WAVE (IMO 7982361, CS-ML4A1) on voyage 43C. Berth plan shows ETB at BP07 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at Pasir Panjang Terminal 2 reflects older figures. Pilotage request pending; quay Q2 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored.",Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable.,VSL: ETA/ETB mismatch for VESSEL_ID on voyage VOYAGE_ID 
Vessel,Call,No,1/31/2025 23:14,"Call ALR-673648 | Vessel MV OCEAN DAWN/7A exception at Pasir Panjang Terminal 2 | Issue: ETA/ETB mismatch for MV OCEAN DAWN (IMO 5063658, CS-YBGJA) on voyage 7A. Berth plan shows ETB at BP07 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at Pasir Panjang Terminal 2 reflects older figures. Pilotage request pending; quay Q5 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored.. Please investigate and resolve urgently. Contact the relevant team if needed.","ETA/ETB mismatch for MV OCEAN DAWN (IMO 5063658, CS-YBGJA) on voyage 7A. Berth plan shows ETB at BP07 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at Pasir Panjang Terminal 2 reflects older figures. Pilotage request pending; quay Q5 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored.",Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable.,VSL: ETA/ETB mismatch for VESSEL_ID on voyage VOYAGE_ID 
IMPORT/EXPORT,Email,No,9/8/2025 13:22,"Subject: RE: DEPARTURE BAYPLAN & TDR / SGSIN - OLYMPIC BAY / 0PZ72S1NL - 136S - AAXW

Dear Team,

Please assist to check which User ID at what time created EBP record for container SEGU 999999. Thanks.
Just to confirm that the user created the EBP record at 99-00-2?

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,","Please assist to check which User ID at what time created EBP record for container SEGU 999999. Thanks.
Just to confirm that the user created the EBP record at 99-00-2?","Here's the abp create/update transaction:

01-SEP-25 0000h, ABP created for SEGU 999999 with cell location 033-05-82 by mantou.
02-SEP-25 0000h, ABP updated for SEGU 999999 by mohdnoh. Cell location was updated to 022-01-12
",
EDI/API,Call,Yes,8/19/2025 12:09,Call ALR-714886 | API Failure on /events/subscribe impacting partner traffic | Issue: Intermittent 503 on '/events/subscribe' during webhook deliveries to Partner-C. slowest 5% of requests latency > 12s triggered breaker; retries hit max; delivery backlog observed. Downstream customer timeline showed gaps; Tuas Port ops unaffected but visibility degraded. Context tokens: EV8P. All numeric identifiers are randomized placeholders; no credentials stored.. Please investigate and resolve urgently. Contact the relevant team if needed.,Intermittent 503 on '/events/subscribe' during webhook deliveries to Partner-C. slowest 5% of requests latency > 12s triggered breaker; retries hit max; delivery backlog observed. Downstream customer timeline showed gaps; Tuas Port ops unaffected but visibility degraded. Context tokens: EV8P. All numeric identifiers are randomized placeholders; no credentials stored.,Escalate to EDIAPI Product Team,
Vessel,Call,No,4/26/2025 2:46,Call INC-867927 | Vessel MV STELLAR WIND/211S exception at PSA Tanjong Pagar | Issue: Schedule API intermittently returns 403 for MV STELLAR WIND/211S; slowest 5% of requests latency > 12s. External subscribers missed webhook pushes; fallback polling exposed gaps in berth window at PSA Tanjong Pagar. All numeric identifiers are randomized placeholders; no credentials stored.. Please investigate and resolve urgently. Contact the relevant team if needed.,Schedule API intermittently returns 403 for MV STELLAR WIND/211S; slowest 5% of requests latency > 12s. External subscribers missed webhook pushes; fallback polling exposed gaps in berth window at PSA Tanjong Pagar. All numeric identifiers are randomized placeholders; no credentials stored.,"Increased timeout, tuned backoff, enabled request coalescing. Rotated OAuth keys; enforced clock-skew tolerance; added SLI alerts for error-rate/latency. Communications used masked ticket references where applicable.",
EDI/API,SMS,Yes,5/27/2025 8:48,Alert: SMS INC-658455 | Issue: Rate limiter throttled legitimate traffic after load surge. Hot keys on '/webhooks/delivery/GBS0OO' . Please check immediately.,"Rate limiter throttled legitimate traffic after load surge. Hot keys on '/webhooks/delivery/GBS0OO' created cache stampede; error budget burned for the window. Context tokens: IMPE, VOYAGE. All numeric identifiers are randomized placeholders; no credentials stored.",Escalate to EDIAPI Product Team,
Vessel,Email,No,3/18/2025 22:12,"Subject: Email TCK-51045 | Vessel MV PORT KELANG EXPRESS/W184 exception at PSA Keppel

Dear Team,

Good Day Team,
I would like to enquire with regards to subject vessel berth creation.
Subject vessel™s berth was created with voyage in and out as follows: W183/W183.
For some reason, the voyage changed to E183/W183 and was then resolved and reverted accordingly.
I would like to know for our internal accountability reasons, is it possible to identify by whom was it amended by?

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,","Issue:
The berth creation for MV PORT KELANG EXPRESS (W184) at PSA Keppel was initially created with the voyages W183/W183. However, the voyage was later changed to E183/W183 before being reverted back.
The team is requesting to identify who made the amendment to ensure internal accountability.","Check System Logs:
Review the system logs or audit trail for the berth creation process to identify who made the changes to the voyage details.
Action: Search for voyage change history in the system logs.
Verify User Permissions:
If logs indicate a change, check the user permissions for those involved in the process to confirm who had access to amend voyage details.
Action: Cross-check with the system’s user activity logs.
Escalate if Needed:
If the information cannot be found, escalate to the system admin team for further investigation. They can trace system-level changes and provide more details.",
Container Booking,Call,No,5/19/2025 17:07,"Call TCK-527865 | Container CMAU7425315 exception reported at Tuas Port | Issue: Discrepancy between customer portal and TOS for container CMAU7425315 on voyage VA61. Portal shows 'Loaded @ BP05' while TOS indicates 'In Yard - Block E5'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-CFZW0LDA and seal S6050-Q1D included (randomized placeholders). Yard crane QC11 handled the last move at PSA Pasir Panjang.. Please investigate and resolve urgently. Contact the relevant team if needed.","Discrepancy between customer portal and TOS for container CMAU7425315 on voyage VA61. Portal shows 'Loaded @ BP05' while TOS indicates 'In Yard - Block E5'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-CFZW0LDA and seal S6050-Q1D included (randomized placeholders). Yard crane QC11 handled the last move at PSA Pasir Panjang.",Ran de-duplication on EDI queue and restored the correct CODECO snapshot. Set precedence to prefer TOS for equipment attributes; added a rule to reject backdated updates within 120 minutes. Customer notified using a masked ticket reference.,
Container Booking,SMS,Yes,4/20/2025 13:03,Alert: SMS ALR-590110 | Issue: Callback delivery failures for MAEU8996752. Webhook sender faced 502 due to peer TLS renegotiation. . Please check immediately.,Callback delivery failures for MAEU8996752. Webhook sender faced 502 due to peer TLS renegotiation. Queue grew and breaker opened. Affected endpoint '/bookings/search'.,Tuned retry backoff and timeouts; scaled read replicas; enabled request coalescing. Rotated OAuth keys and hard-synced NTP; added idempotency on callbacks.,CNTR: Callback delivery failures for CONTAINER_ID 
EDI/API,SMS,Yes,1/6/2025 19:07,Alert: SMS ALR-699230 | Issue: OAuth token rejection spikes on '/events/subscribe'. Clock skew across nodes yielded 401/403 bursts;. Please check immediately.,OAuth token rejection spikes on '/events/subscribe'. Clock skew across nodes yielded 401/403 bursts; clients observed partial responses before circuit opened. Context tokens: FIS3. All numeric identifiers are randomized placeholders; no credentials stored.,Escalate to EDIAPI Product Team,
Vessel,Email,No,2/24/2025 7:03,"Subject: Email TCK-459279 | Vessel MV SEA HORIZON/002E exception at PSA Keppel

Dear Team,

Schedule API intermittently returns 504 for MV SEA HORIZON/002E; slowest 5% of requests latency > 12s. External subscribers missed webhook pushes; fallback polling exposed gaps in berth window at PSA Keppel. All numeric identifiers are randomized placeholders; no credentials stored.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,",Schedule API intermittently returns 504 for MV SEA HORIZON/002E; slowest 5% of requests latency > 12s. External subscribers missed webhook pushes; fallback polling exposed gaps in berth window at PSA Keppel. All numeric identifiers are randomized placeholders; no credentials stored.,"Increased timeout, tuned backoff, enabled request coalescing. Rotated OAuth keys; enforced clock-skew tolerance; added SLI alerts for error-rate/latency. Communications used masked ticket references where applicable.",VSL: Schedule API intermittently returns 504 for VESSEL_ID; slowest 5% of requests latency > 12s 
EDI/API,SMS,Yes,8/19/2025 15:53,"Alert: SMS ALR-817676 | Issue: Time zone drift caused eventTime to serialize in UTC+0 for partner Partner-B, while TOS computed loc. Please check immediately.","Time zone drift caused eventTime to serialize in UTC+0 for partner Partner-B, while TOS computed local UTC+8. Container HLCU8077734 milestones appeared out-of-order on the portal; EDIFACT COARRI 'Gate Out' overshadowed later 'Loaded' event. Booking BK-2FMDWK1B not impacted operationally but customer view inconsistent. Context tokens: TONSBERG, WLO8168752. All numeric identifiers are randomized placeholders; no credentials stored.",Patched mapper to respect NAD roles; added tests for role inversion; flushed CDN. Sent sanitized incident summary to stakeholders; identifiers masked. Communications used masked ticket references where applicable.,"ADI: Time zone drift caused eventTime to serialize in UTC+0 for partner PARTNER_ID, while TOS computed local UTC+8. "
Vessel,Call,No,9/14/2025 5:21,"Call INC-272597 | Vessel MV TITAN CREST/211S exception at Tuas Port | Issue: ETA/ETB mismatch for MV TITAN CREST (IMO 6478810, CS-VMI8J) on voyage 211S. Berth plan shows ETB at BP03 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at Tuas Port reflects older figures. Pilotage request pending; quay Q2 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored.. Please investigate and resolve urgently. Contact the relevant team if needed.","ETA/ETB mismatch for MV TITAN CREST (IMO 6478810, CS-VMI8J) on voyage 211S. Berth plan shows ETB at BP03 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at Tuas Port reflects older figures. Pilotage request pending; quay Q2 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored.",Escalate to Vessel Product Team,
IMPORT/EXPORT,Email,No,9/9/2025 10:51,"Subject: RE: Allied - ESN Creation error for High Cube Container | CS0057370-INC0172643/L

Dear Team,

We have encountered an issue regarding the Highcube container ESN processing. Yesterday we had a case of FR(HC) Bundle shipment while we tried to create ESN for this bundle of one container, we received an error ""ESN_WS_BKG_MATCH_00001:No matching booking is found. Please check the container booking.""
URL: https://api.meowpc.com/pcsd/esn/createcd/v1.0

Called Time: 08/09/2025, 15:46:37


Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,","We have encountered an issue regarding the Highcube container ESN processing. Yesterday we had a case of FR(HC) Bundle shipment while we tried to create ESN for this bundle of one container, we received an error ""ESN_WS_BKG_MATCH_00001:No matching booking is found. Please check the container booking.""
URL: https://api.meowpc.com/pcsd/esn/createcd/v1.0

Called Time: 08/09/2025, 15:46:37 
","The quantity of booking is 1. After Created ESN by online at 15:41, PCP API cannot create one more ESN at 15:46.
Before ESN Creation online, keep hitting error : ESN_WS_BKG_MATCH_PCP_00004:Special Details mismatch. The special details in booking are [BD]. The one in ESN is [BD/Bundle].
Due to invalid specical detail with œ/Bundle.
",
EDI/API,SMS,Yes,2/28/2025 6:33,Alert: SMS ALR-816043 | Issue: OAuth token rejection spikes on '/containers/search'. Clock skew across nodes yielded 401/403 bursts. Please check immediately.,OAuth token rejection spikes on '/containers/search'. Clock skew across nodes yielded 401/403 bursts; clients observed partial responses before circuit opened. All numeric identifiers are randomized placeholders; no credentials stored.,Introduced per-partner rate shaping; added idempotency keys for webhook retries; validated TLS and cipher compatibility; published sanitized RCA. Communications used masked ticket references where applicable.,API: OAuth token rejection spikes on '/containers/search' 
EDI/API,SMS,Yes,6/24/2025 0:09,Alert: SMS TCK-477180 | Issue: Intermittent 408 on '/auth/token' during webhook deliveries to Partner-B. slowest 5% of requests latency > 12s triggere. Please check immediately.,Intermittent 408 on '/auth/token' during webhook deliveries to Partner-B. slowest 5% of requests latency > 12s triggered breaker; retries hit max; delivery backlog observed. Downstream customer timeline showed gaps; Tuas Port ops unaffected but visibility degraded. All numeric identifiers are randomized placeholders; no credentials stored.,Scaled read replicas and split hot key namespaces; added half-open probes to breaker; restored normal delivery and rebuilt backlog safely. Communications used masked ticket references where applicable.,EDI: Intermittent 408 on '/auth/token' during webhook deliveries to PARTNER_ID 
Vessel,SMS,No,1/9/2025 6:15,"Alert: SMS TCK-784180 | Issue: ETA/ETB mismatch for MV PACIFIC GLORY (IMO 5064855, CS-6PU0P) on voyage 19E. Berth plan shows ETB at. Please check immediately.","ETA/ETB mismatch for MV PACIFIC GLORY (IMO 5064855, CS-6PU0P) on voyage 19E. Berth plan shows ETB at TU13 while TOS differs by >90 minutes due to tidal constraints. Partner portal still displays outdated ETA; yard resource plan at PSA Tanjong Pagar reflects older figures. Pilotage request pending; quay Q1 crane allocation misaligned. All numeric identifiers are randomized placeholders; no credentials stored.",Reconciled ETA/ETB across systems; normalized times to port TZ and re-published. Triggered berth plan recalculation and crane profile refresh. Added drift guard to auto-alert on >30 min divergence. Communications used masked ticket references where applicable.,VSL: ETA/ETB mismatch for VESSEL_ID on VOYAGE_ID 
EDI/API,Email,Yes,2/2/2025 0:23,"Subject: Email ALR-131108 | API Failure on /manifest/validate impacting partner traffic

Dear Team,

Intermittent 429 on '/manifest/validate' during webhook deliveries to Partner-C. slowest 5% of requests latency > 12s triggered breaker; retries hit max; delivery backlog observed. Downstream customer timeline showed gaps; PSA Tanjong Pagar ops unaffected but visibility degraded. Context tokens: CS0050536, D-2. All numeric identifiers are randomized placeholders; no credentials stored.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,","Intermittent 429 on '/manifest/validate' during webhook deliveries to Partner-C. slowest 5% of requests latency > 12s triggered breaker; retries hit max; delivery backlog observed. Downstream customer timeline showed gaps; PSA Tanjong Pagar ops unaffected but visibility degraded. Context tokens: CS0050536, D-2. All numeric identifiers are randomized placeholders; no credentials stored.",Introduced per-partner rate shaping; added idempotency keys for webhook retries; validated TLS and cipher compatibility; published sanitized RCA. Communications used masked ticket references where applicable.,
EDI/API,Email,Yes,3/28/2025 14:13,"Subject: Email TCK-115187 | EDI/API Data Mismatch on MSCU6754072 at PSA Pasir Panjang

Dear Team,

Shipper/consignee role swap observed on API payload for MSCU6754072. Upstream denormalization reversed NAD qualifiers; billing prep failed validation. Partner: Partner-E; affected terminal: PSA Pasir Panjang. All numeric identifiers are randomized placeholders; no credentials stored.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,",Shipper/consignee role swap observed on API payload for MSCU6754072. Upstream denormalization reversed NAD qualifiers; billing prep failed validation. Partner: Partner-E; affected terminal: PSA Pasir Panjang. All numeric identifiers are randomized placeholders; no credentials stored.,Patched mapper to respect NAD roles; added tests for role inversion; flushed CDN. Sent sanitized incident summary to stakeholders; identifiers masked. Communications used masked ticket references where applicable.,
EDI/API,Email,Yes,5/18/2025 7:33,"Subject: Email ALR-925328 | API Failure on /auth/token impacting partner traffic

Dear Team,

Rate limiter throttled legitimate traffic after load surge. Hot keys on '/auth/token' created cache stampede; error budget burned for the window. All numeric identifiers are randomized placeholders; no credentials stored.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,",Rate limiter throttled legitimate traffic after load surge. Hot keys on '/auth/token' created cache stampede; error budget burned for the window. All numeric identifiers are randomized placeholders; no credentials stored.,Scaled read replicas and split hot key namespaces; added half-open probes to breaker; restored normal delivery and rebuilt backlog safely. Communications used masked ticket references where applicable.,API: Rate limiter throttled legitimate traffic after load surge 
EDI/API,Call,Yes,5/16/2025 20:35,"Call ALR-176353 | API Failure on /events/subscribe impacting partner traffic | Issue: OAuth token rejection spikes on '/events/subscribe'. Clock skew across nodes yielded 401/403 bursts; clients observed partial responses before circuit opened. Context tokens: UTF-8, IMPE. All numeric identifiers are randomized placeholders; no credentials stored.. Please investigate and resolve urgently. Contact the relevant team if needed.","OAuth token rejection spikes on '/events/subscribe'. Clock skew across nodes yielded 401/403 bursts; clients observed partial responses before circuit opened. Context tokens: UTF-8, IMPE. All numeric identifiers are randomized placeholders; no credentials stored.","Increased timeouts, tuned exponential backoff, enabled request coalescing. Rotated OAuth keys and enforced ±60s token leeway. Warmed cache for hot routes and raised SLI alerts. Communications used masked ticket references where applicable.",API:  OAuth token rejection spikes on '/events/subscribe'
Container Booking,SMS,No,9/13/2025 9:14,Alert: SMS ALR-659024 | Issue: Mismatched shipment party codes for EMCU1668160. Shipper/consignee swapped after a backfill job. Cus. Please check immediately.,Mismatched shipment party codes for EMCU1668160. Shipper/consignee swapped after a backfill job. Customer raised billing risk; TOS remains accurate but public API cached the wrong roles. Affected terminal: PSA Pasir Panjang; booking BK-POHSWQ40.,Escalate to Container Product Team,
Container Report,SMS,No,3/11/2025 13:23,"Alert: SMS ALR-883790 | Issue: Customs flag toggled incorrectly for NYKU7897282, causing manual hold. Downstream feeds showed 'Hold. Please check immediately.","Customs flag toggled incorrectly for NYKU7897282, causing manual hold. Downstream feeds showed 'Hold' while TOS remained 'Available' at PSA Keppel.",Escalate to Container Product Team,
EDI/API,Call,Yes,3/4/2025 13:56,"Call TCK-859822 | EDI/API Data Mismatch on ONEU0716473 at Pasir Panjang Terminal 2 | Issue: Time zone drift caused eventTime to serialize in UTC+0 for partner Partner-E, while TOS computed local UTC+8. Container ONEU0716473 milestones appeared out-of-order on the portal; BAPLIE 'Gate Out' overshadowed later 'Loaded' event. Booking BK-RA5ZCQPT not impacted operationally but customer view inconsistent. Context tokens: VOYAGE. All numeric identifiers are randomized placeholders; no credentials stored.. Please investigate and resolve urgently. Contact the relevant team if needed.","Time zone drift caused eventTime to serialize in UTC+0 for partner Partner-E, while TOS computed local UTC+8. Container ONEU0716473 milestones appeared out-of-order on the portal; BAPLIE 'Gate Out' overshadowed later 'Loaded' event. Booking BK-RA5ZCQPT not impacted operationally but customer view inconsistent. Context tokens: VOYAGE. All numeric identifiers are randomized placeholders; no credentials stored.","Set precedence to TOS for equipment attributes; forced cache purge and re-index. Backfilled corrected attributes, then locked fields for 6h to prevent drift. Added rule to reject backdated EDI updates if newer move exists within 120 minutes. Communications used masked ticket references where applicable.","API: Time zone drift caused eventTime to serialize in UTC+0 for partner PARTNER_ID, while TOS computed local UTC+8. "
IMPORT/EXPORT,Email,No,9/11/2025 15:55,"""Subject: Containers Not Found in PSA Flat File - SEVILLIA/986N INC0173055/CS0057490 /v

Dear Team,

Dear PSA Team,
We could not find the following containers in the PSA flat files.
However, these containers do exist in the Coarri file (please refer to the attachment).
Could you please provide the flat file for these containers?
Thank you for your assistance.
Vessel :SEVILLIA, voyage :999n

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,""","Dear PSA Team,
We could not find the following containers in the PSA flat files. 
However, these containers do exist in the Coarri file (please refer to the attachment).
Could you please provide the flat file for these containers?
Thank you for your assistance.
Vessel :SEVILLIA, voyage :999n",,
EDI/API,SMS,Yes,4/7/2025 18:04,"Alert: SMS INC-620823 | Issue: Time zone drift caused eventTime to serialize in UTC+0 for partner Partner-A, while TOS computed loc. Please check immediately.","Time zone drift caused eventTime to serialize in UTC+0 for partner Partner-A, while TOS computed local UTC+8. Container CMAU9365193 milestones appeared out-of-order on the portal; ANSI X12 315 'Gate Out' overshadowed later 'Loaded' event. Booking BK-H0RE3W6S not impacted operationally but customer view inconsistent. All numeric identifiers are randomized placeholders; no credentials stored.",Patched mapper to respect NAD roles; added tests for role inversion; flushed CDN. Sent sanitized incident summary to stakeholders; identifiers masked. Communications used masked ticket references where applicable.,"EDI: Time zone drift caused eventTime to serialize in UTC+0 for partner PARTNER_ID, while TOS computed local UTC+8. "
EDI/API,Email,Yes,7/16/2025 15:51,"Subject: Email TCK-466467 | API Failure on /bookings/v1 impacting partner traffic

Dear Team,

Intermittent 503 on '/bookings/v1' during webhook deliveries to Partner-C. slowest 5% of requests latency > 12s triggered breaker; retries hit max; delivery backlog observed. Downstream customer timeline showed gaps; Tuas Port ops unaffected but visibility degraded. Context tokens: RHRCLUBSINC25001151, OPERATOR. All numeric identifiers are randomized placeholders; no credentials stored.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,","Intermittent 503 on '/bookings/v1' during webhook deliveries to Partner-C. slowest 5% of requests latency > 12s triggered breaker; retries hit max; delivery backlog observed. Downstream customer timeline showed gaps; Tuas Port ops unaffected but visibility degraded. Context tokens: RHRCLUBSINC25001151, OPERATOR. All numeric identifiers are randomized placeholders; no credentials stored.",Escalate to EDIAPI Product Team,
Container Report,Email,No,1/14/2025 21:55,"Subject: Email ALR-295361 | Container CMAU3690557 exception reported at Pasir Panjang Terminal 2

Dear Team,

Translator rejected EDIFACT COARRI for CMAU3690557: segment count mismatch, sequence skipped 018â†’019â†’021. Missing public milestone though warehouse shows correct move.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,","Translator rejected EDIFACT COARRI for CMAU3690557: segment count mismatch, sequence skipped 018?019?021. Missing public milestone though warehouse shows correct move.",Escalate to Container Product Team,
Container Booking,Email,Yes,4/25/2025 20:00,"Subject: Email TCK-515973 | Container NYKU4009850 exception reported at Tuas Port

Dear Team,

Discrepancy between customer portal and TOS for container NYKU4009850 on voyage QS19. Portal shows 'Loaded @ TU13' while TOS indicates 'In Yard - Block C4'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-KUU4YTN0 and seal S2284-S9B included (randomized placeholders). Yard crane QC11 handled the last move at PSA Pasir Panjang.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,","Discrepancy between customer portal and TOS for container NYKU4009850 on voyage QS19. Portal shows 'Loaded @ TU13' while TOS indicates 'In Yard - Block C4'. Audit trail reveals a late yard move event, potentially overwritten by an older milestone. Booking BK-KUU4YTN0 and seal S2284-S9B included (randomized placeholders). Yard crane QC11 handled the last move at PSA Pasir Panjang.",Ran cross-system compare and forced cache invalidation. Re-ordered events by eventTime; replayed 'Yard Move Completed'. Corrected size/type to manifest truth and locked the attribute for 6 hours. Published reconciliation summary with sanitized diffs.,CNTR: Discrepancy between customer portal and TOS for container CM 
Container Report,SMS,No,2/4/2025 22:52,Alert: SMS TCK-162894 | Issue: 500 responses and timeouts on '/events/subscribe' when querying EITU7242344. slowest 5% of requests latency > 10s; retr. Please check immediately.,500 responses and timeouts on '/events/subscribe' when querying EITU7242344. slowest 5% of requests latency > 10s; retries exhausted—gaps visible in customer timeline. Coincides with partner load test near PSA Pasir Panjang.,Introduced token-leeway (+60s); purged problematic cache entries; rebuilt hot keys. Shaped traffic during partner tests and published sanitized RCA.,
EDI/API,SMS,Yes,7/29/2025 9:44,Alert: SMS INC-479757 | Issue: Unexpected qualifier 'CN' in EQD segment from Partner-B; schema validation failed; containers in the. Please check immediately.,Unexpected qualifier 'CN' in EQD segment from Partner-B; schema validation failed; containers in the message not reflected on the portal timeline. All numeric identifiers are randomized placeholders; no credentials stored.,Escalate to EDIAPI Product Team,
IMPORT/EXPORT,Email,No,9/10/2025 13:35,"Subject: RE-NOM TRANSHIPMENT CONTAINERS TO NEXT VESSEL | CS0057435-INC0172816/L

Dear Team,

Vessel BS12 / S18 is not found in Port Program.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,",Vessel BS12 / S18 is not found in Port Program.,"User can see the PP after JP sent that voyage number to PORTNET around 5:50pm.
",
Vessel,Call,Yes,2/7/2025 21:43,Call ALR-743550 | Vessel MV TITAN CREST/43C exception at Pasir Panjang Terminal 2 | Issue: Schedule API intermittently returns 500 for MV TITAN CREST/43C; slowest 5% of requests latency > 12s. External subscribers missed webhook pushes; fallback polling exposed gaps in berth window at Pasir Panjang Terminal 2. All numeric identifiers are randomized placeholders; no credentials stored.. Please investigate and resolve urgently. Contact the relevant team if needed.,Schedule API intermittently returns 500 for MV TITAN CREST/43C; slowest 5% of requests latency > 12s. External subscribers missed webhook pushes; fallback polling exposed gaps in berth window at Pasir Panjang Terminal 2. All numeric identifiers are randomized placeholders; no credentials stored.,"Increased timeout, tuned backoff, enabled request coalescing. Rotated OAuth keys; enforced clock-skew tolerance; added SLI alerts for error-rate/latency. Communications used masked ticket references where applicable.",VSL: Schedule API intermittently returns 500 for VESSEL_ID; slowest 5% of requests latency > 12s 
Container Booking,Email,No,9/22/2025 5:46,"Subject: Email ALR-107096 | Container HLCU5578047 exception reported at PSA Tanjong Pagar

Dear Team,

Mismatched shipment party codes for HLCU5578047. Shipper/consignee swapped after a backfill job. Customer raised billing risk; TOS remains accurate but public API cached the wrong roles. Affected terminal: Tuas Port; booking BK-GJJFGJK2.

Please review the case and provide a resolution at the earliest. Kindly escalate if necessary.

Best Regards,",Mismatched shipment party codes for HLCU5578047. Shipper/consignee swapped after a backfill job. Customer raised billing risk; TOS remains accurate but public API cached the wrong roles. Affected terminal: Tuas Port; booking BK-GJJFGJK2.,Ran cross-system compare and forced cache invalidation. Re-ordered events by eventTime; replayed 'Yard Move Completed'. Corrected size/type to manifest truth and locked the attribute for 6 hours. Published reconciliation summary with sanitized diffs.,CNTR: Discrepancy between customer portal and TOS for container CONTAINER_ID on voyage VA61 
Container Booking,SMS,No,9/16/2025 1:12,Alert: SMS TCK-785197 | Issue: Weight and size attributes for EITU4200550 do not align with manifest data. OMS lists 22G1 whereas t. Please check immediately.,Weight and size attributes for EITU4200550 do not align with manifest data. OMS lists 22G1 whereas the EDI intake translated to 45R1—slot planning at PSA Pasir Panjang misallocated. Voyage QS19; last known location Block B3. Suspect duplicate CODECO from yesterday caused field overwrite.,Ran de-duplication on EDI queue and restored the correct CODECO snapshot. Set precedence to prefer TOS for equipment attributes; added a rule to reject backdated updates within 120 minutes. Customer notified using a masked ticket reference.,CNTR: Weight and size attributes for CONTAINER_ID do not align with manifest data 
